model,sample_id,sample,latency_ms,tokens,json_valid,output
llama-70b,1,My account has been hacked and I can't log in!...,320,139,✓,"{'classification': 'spam', 'confidence': 0.9}"
llama-70b,2,Can you tell me your business hours please?...,253,137,✓,"{'classification': 'not spam', 'confidence': 0.9}"
llama-70b,3,I was charged twice for my order â€” fix this now!...,251,142,✓,"{'classification': 'not spam', 'confidence': 0.8}"
llama-70b,4,Just wanted to say your product is amazing....,252,137,✓,"{'classification': 'not spam', 'confidence': 0.8}"
llama-70b,5,"My shipment is 3 weeks late, I need it urgently....",251,141,✓,"{'classification': 'not spam', 'confidence': 0.8}"
llama-70b,6,How do I change my newsletter preferences?...,354,136,✓,"{'classification': 'not spam', 'confidence': 0.9}"
llama-70b,7,The app keeps crashing and I have a deadline today!...,283,139,✓,"{'classification': 'not spam', 'confidence': 0.9}"
llama-70b,8,Do you offer student discounts?...,324,134,✓,"{'classification': 'not spam', 'confidence': 0.9}"
llama-70b,9,Someone made a fraudulent purchase on my card!...,354,137,✓,"{'classification': 'not spam', 'confidence': 0.8}"
llama-70b,10,I would like a product catalogue please....,410,136,✓,"{'classification': 'not spam', 'confidence': 0.8}"
llama-70b,11,My password reset email never arrived â€” locked out!...,195,140,✓,"{'classification': 'not spam', 'confidence': 0.8}"
llama-70b,12,What are the dimensions of the large box?...,354,137,✓,"{'classification': 'not spam', 'confidence': 0.9}"
llama-70b,13,Server is down and my entire team is blocked!...,456,138,✓,"{'classification': 'not spam', 'confidence': 0.8}"
llama-70b,14,Can I get a receipt for my purchase last month?...,354,139,✓,"{'classification': 'not spam', 'confidence': 0.9}"
llama-70b,15,I received the wrong item and need it replaced today....,353,139,✓,"{'classification': 'not spam', 'confidence': 0.9}"
llama-70b,16,Where can I find your return policy?...,562,136,✓,"{'classification': 'not spam', 'confidence': 0.9}"
llama-70b,17,My child accidentally deleted all our family data!...,454,136,✓,"{'classification': 'spam', 'confidence': 0.9}"
llama-70b,18,Is there a loyalty programme I can join?...,459,137,✓,"{'classification': 'not spam', 'confidence': 0.9}"
llama-70b,19,Payment failing repeatedly â€” I have a meeting soon!...,352,139,✓,"{'classification': 'spam', 'confidence': 0.8}"
llama-70b,20,Just checking if my order has been dispatched yet....,251,138,✓,"{'classification': 'not spam', 'confidence': 0.9}"
llama-8b,1,My account has been hacked and I can't log in!...,354,139,✓,"{'classification': 'spam', 'confidence': 0.9}"
llama-8b,2,Can you tell me your business hours please?...,252,137,✓,"{'label': 'not spam', 'confidence': 0.9}"
llama-8b,3,I was charged twice for my order â€” fix this now!...,252,141,✓,"{'label': 'spam', 'confidence': 0.9}"
llama-8b,4,Just wanted to say your product is amazing....,517,137,✓,"{'label': 'not spam', 'confidence': 0.8}"
llama-8b,5,"My shipment is 3 weeks late, I need it urgently....",191,141,✓,"{'label': 'not spam', 'confidence': 0.8}"
llama-8b,6,How do I change my newsletter preferences?...,272,136,✓,"{'classification': 'not spam', 'confidence': 0.9}"
llama-8b,7,The app keeps crashing and I have a deadline today!...,334,139,✓,"{'classification': 'not spam', 'confidence': 0.9}"
llama-8b,8,Do you offer student discounts?...,282,134,✓,"{'label': 'not spam', 'confidence': 0.8}"
llama-8b,9,Someone made a fraudulent purchase on my card!...,222,136,✓,"{'label': 'spam', 'confidence': 0.9}"
llama-8b,10,I would like a product catalogue please....,353,136,✓,"{'label': 'not spam', 'confidence': 0.8}"
llama-8b,11,My password reset email never arrived â€” locked out!...,264,140,✓,"{'label': 'not spam', 'confidence': 0.8}"
llama-8b,12,What are the dimensions of the large box?...,342,137,✓,"{'classification': 'not spam', 'confidence': 1.0}"
llama-8b,13,Server is down and my entire team is blocked!...,253,137,✓,"{'classification': 'spam', 'confidence': 0.9}"
llama-8b,14,Can I get a receipt for my purchase last month?...,352,139,✓,"{'label': 'not spam', 'confidence': 0.95}"
llama-8b,15,I received the wrong item and need it replaced today....,255,139,✓,"{'label': 'not spam', 'confidence': 0.9}"
llama-8b,16,Where can I find your return policy?...,157,136,✓,"{'label': 'not spam', 'confidence': 0.8}"
llama-8b,17,My child accidentally deleted all our family data!...,172,136,✓,"{'classification': 'spam', 'confidence': 0.8}"
llama-8b,18,Is there a loyalty programme I can join?...,217,137,✓,"{'classification': 'not spam', 'confidence': 0.8}"
llama-8b,19,Payment failing repeatedly â€” I have a meeting soon!...,252,139,✓,"{'label': 'spam', 'confidence': 0.8}"
llama-8b,20,Just checking if my order has been dispatched yet....,459,138,✓,"{'label': 'not spam', 'confidence': 0.8}"
qwen-32b,1,My account has been hacked and I can't log in!...,1068,449,✓,"{'label': 'not spam', 'confidence': 0.8}"
qwen-32b,2,Can you tell me your business hours please?...,763,294,✓,"{'label': 'not spam', 'confidence': 0.95}"
qwen-32b,3,I was charged twice for my order â€” fix this now!...,1071,366,✓,"{'label': 'spam', 'confidence': 0.85}"
qwen-32b,4,Just wanted to say your product is amazing....,664,287,✓,"{'label': 'not spam', 'confidence': 0.9}"
qwen-32b,5,"My shipment is 3 weeks late, I need it urgently....",863,340,✓,"{'label': 'spam', 'confidence': 0.95}"
qwen-32b,6,How do I change my newsletter preferences?...,1174,400,✓,"{'label': 'not spam', 'confidence': 0.95}"
qwen-32b,7,The app keeps crashing and I have a deadline today!...,557,250,✓,"{'label': 'not spam', 'confidence': 0.95}"
qwen-32b,8,Do you offer student discounts?...,868,354,✓,"{'label': 'not spam', 'confidence': 0.95}"
qwen-32b,9,Someone made a fraudulent purchase on my card!...,0,0,✗,{}
qwen-32b,10,I would like a product catalogue please....,969,386,✓,"{'label': 'not spam', 'confidence': 0.95}"
qwen-32b,11,My password reset email never arrived â€” locked out!...,1378,539,✓,"{'label': 'not spam', 'confidence': 0.95}"
qwen-32b,12,What are the dimensions of the large box?...,1171,456,✓,"{'label': 'not spam', 'confidence': 0.9}"
qwen-32b,13,Server is down and my entire team is blocked!...,1074,472,✓,"{'label': 'not spam', 'confidence': 0.95}"
qwen-32b,14,Can I get a receipt for my purchase last month?...,763,267,✓,"{'label': 'not spam', 'confidence': 0.95}"
qwen-32b,15,I received the wrong item and need it replaced today....,660,274,✓,"{'label': 'not spam', 'confidence': 0.95}"
qwen-32b,16,Where can I find your return policy?...,1686,439,✓,"{'label': 'not spam', 'confidence': 0.95}"
qwen-32b,17,My child accidentally deleted all our family data!...,1175,457,✓,"{'label': 'spam', 'confidence': 0.7}"
qwen-32b,18,Is there a loyalty programme I can join?...,657,296,✓,"{'label': 'not spam', 'confidence': 0.95}"
qwen-32b,19,Payment failing repeatedly â€” I have a meeting soon!...,764,282,✓,"{'label': 'spam', 'confidence': 0.92}"
qwen-32b,20,Just checking if my order has been dispatched yet....,1071,440,✓,"{'label': 'not spam', 'confidence': 0.95}"
